rxns,eccodes,genes
R01569,ec-code/3.1.3.5;ec-code/3.1.3.35;ec-code/3.1.3.89,IB49_08200
R01570,ec-code/2.4.2.2;ec-code/2.4.2.4,IB49_03360
R01579,ec-code/3.5.1.2;ec-code/3.5.1.35;ec-code/3.5.1.38,IB49_02950 or IB49_02335 or IB49_11725
R01582,ec-code/2.6.1.21,IB49_05190
R01602,ec-code/5.1.3.3,IB49_01380
R01616,ec-code/6.2.1.12,IB49_05325
R01626,ec-code/2.3.1.39;ec-code/2.3.1.85;ec-code/2.3.1.86;ec-code/2.3.1.-,IB49_16175
R01639,ec-code/2.7.1.17,IB49_01370
R01641,ec-code/2.2.1.1,IB49_16905
R01648,ec-code/2.6.1.19,IB49_11235 or IB49_17520
R01655,ec-code/3.5.4.9,IB49_03775
R01658,ec-code/2.5.1.1,IB49_03760 or IB49_02825
R01664,ec-code/3.1.3.5;ec-code/3.1.3.89,IB49_08200
R01665,ec-code/2.7.4.14;ec-code/2.7.4.25,IB49_02910 or IB49_02655
R01684,ec-code/2.6.1.55,IB49_17520
R01688,ec-code/2.7.2.7,IB49_03690
R01698,ec-code/1.8.1.4,IB49_15580 or IB49_03685
R01708,ec-code/1.1.1.65,IB49_01780
R01714,ec-code/4.2.3.5,IB49_02810
R01715,ec-code/5.4.99.5,IB49_05915 or IB49_04880 or IB49_02800 or IB49_04885
R01716,ec-code/2.6.1.85,IB49_10550 or IB49_10555
R01718,ec-code/3.2.1.10,IB49_13340
R01720,ec-code/1.17.1.5,IB49_12410
R01724,ec-code/6.3.4.21,IB49_01105
R01728,ec-code/1.3.1.12,IB49_02755 or IB49_02760
R01739,ec-code/1.1.1.215,IB49_06925
R01747,ec-code/1.1.1.60,IB49_15410
R01751,ec-code/4.1.1.73,IB49_09780
R01752,ec-code/1.2.1.3,IB49_05715
R01764,ec-code/4.1.1.7,IB49_12360
R01768,ec-code/1.17.1.4,IB49_12410
R01771,ec-code/2.7.1.39,IB49_06910
R01775,ec-code/1.1.1.3,IB49_08370
R01781,ec-code/1.1.1.77,IB49_13915
R01782,ec-code/4.1.2.28,IB49_01615
R01818,ec-code/5.4.2.8,IB49_12180 or IB49_12195
R01825,ec-code/1.2.1.72,IB49_05520
R01826,ec-code/2.5.1.54,IB49_05915
R01829,ec-code/4.1.2.13,IB49_09485
R01838,ec-code/1.1.1.51;ec-code/1.1.1.64,IB49_00335
R01845,ec-code/3.1.3.11;ec-code/3.1.3.37,IB49_09470
R01855,ec-code/3.6.1.-,IB49_05200
R01857,ec-code/2.7.4.6,IB49_02820
R01858,ec-code/2.7.1.40,IB49_05580 or IB49_07195
R01859,ec-code/6.4.1.3,IB49_18380 or IB49_18360 or IB49_03790 or IB49_03530
R01863,ec-code/2.4.2.1;ec-code/2.4.2.15,IB49_03365 or IB49_18245
R01869,ec-code/1.3.1.14,IB49_16015
R01870,ec-code/2.4.2.10,IB49_16025
R01876,ec-code/2.4.2.2;ec-code/2.4.2.3,IB49_03360
R01877,ec-code/3.1.3.6,IB49_00850 or IB49_08200
R01878,ec-code/3.5.4.5,IB49_04245
R01880,ec-code/2.7.1.48,IB49_04610
R01900,ec-code/4.2.1.3,IB49_16985
R01901,ec-code/2.7.1.53,IB49_01370
R01920,ec-code/2.5.1.16,IB49_09580 or IB49_00660
R01933,ec-code/1.2.4.2;ec-code/1.8.1.4;ec-code/2.3.1.61,IB49_15580 or IB49_15395 or IB49_03685
R01934,ec-code/1.1.1.87;ec-code/1.1.1.286,IB49_05165
R01939,ec-code/2.6.1.39,IB49_13970
R01943,ec-code/6.2.1.12,IB49_05325
R01954,ec-code/6.3.4.5,IB49_05670
R01968,ec-code/3.1.3.5;ec-code/3.1.3.89,IB49_08200
R01969,ec-code/2.4.2.1;ec-code/2.4.2.4,IB49_03365 or IB49_18245
R01974,ec-code/4.1.1.43;ec-code/4.1.1.74,IB49_12360
R01976,ec-code/1.1.1.157,IB49_09530 or IB49_12160
R01977,ec-code/1.1.1.36,IB49_16180
R01986,ec-code/1.2.1.3,IB49_05715
R01990,ec-code/3.5.3.7,IB49_09575
R01993,ec-code/3.5.2.3,IB49_15995 or IB49_16005
R02003,ec-code/2.5.1.10,IB49_03760 or IB49_02825
R02016,ec-code/1.8.1.9,IB49_07485
R02017,ec-code/1.17.4.1,IB49_03900 or IB49_14825 or IB49_14820 or IB49_05710
R02018,ec-code/1.17.4.1,IB49_03900 or IB49_14825 or IB49_14820 or IB49_05710
R02019,ec-code/1.17.4.1,IB49_03900 or IB49_14825 or IB49_14820 or IB49_05710
R02021,ec-code/1.8.4.8,IB49_12610
R02024,ec-code/1.17.4.1,IB49_03900 or IB49_14825 or IB49_14820 or IB49_05710
R02025,ec-code/1.8.4.13;ec-code/1.8.4.14,IB49_05855
R02026,,IB49_04570 or IB49_11840 or IB49_14655
R02034,ec-code/1.1.1.43,IB49_06925
R02059,ec-code/3.5.1.25,IB49_03170
R02060,ec-code/5.4.2.10,IB49_11115
R02061,ec-code/2.5.1.29,IB49_03760 or IB49_02825
R02085,ec-code/4.2.1.18,IB49_05315
R02088,ec-code/3.1.3.5;ec-code/3.1.3.89,IB49_08200
R02090,ec-code/2.7.4.8;ec-code/2.7.4.12,IB49_16065
R02091,ec-code/2.7.1.48,IB49_04610
R02093,ec-code/2.7.4.6,IB49_02820
R02094,ec-code/2.7.4.9;ec-code/2.7.4.12,IB49_10320
R02096,ec-code/2.7.1.48,IB49_04610
R02097,ec-code/2.7.1.48,IB49_04610
R02098,ec-code/2.7.4.4;ec-code/2.7.4.9,IB49_10320
R02099,ec-code/2.7.1.21,IB49_09450
R02100,ec-code/3.6.1.23;ec-code/3.6.1.-,IB49_05200
R02102,ec-code/3.1.3.5;ec-code/3.1.3.89,IB49_08200
R02103,ec-code/1.17.1.4,IB49_12410
R02124,ec-code/1.1.1.1;ec-code/1.1.1.105,IB49_13935
R02133,ec-code/3.5.99.2,IB49_13365
R02135,ec-code/3.1.3.1;ec-code/3.1.3.2;ec-code/3.1.3.100,IB49_16115 or IB49_05390
R02142,ec-code/2.4.2.8;ec-code/2.4.2.22,IB49_10525 or IB49_10520
R02147,ec-code/2.4.2.1;ec-code/2.4.2.15,IB49_03365 or IB49_18245
R02148,ec-code/3.1.3.6,IB49_00850 or IB49_08200
R02164,ec-code/1.3.5.1;ec-code/1.3.5.4,IB49_05240
R02194,ec-code/6.2.1.12,IB49_05325
R02196,ec-code/1.4.1.9,IB49_03695
R02199,ec-code/2.6.1.42,IB49_05190
R02221,ec-code/6.2.1.12,IB49_05325
