ProteinID	ReplicateA	ReplicateB	ReplicateC	ReplicateD
AKU26629.1	0.00051209645862081	0.000391721687383813	0.000467349008569293	0.000541922589335168
AKU26630.1	0.000171159637399648	0.000207554794961973	0.000262271742614566	0.000193036531794369
AKU26631.1	0.000553014318561117	0.000472389398913212	0.000151171806442597	0.000249203332509383
AKU26633.1	0.000298630536578649	0.000322372510217881	0.000431176083740341	0.000249324917283036
AKU26636.1	0.00150676978053538	0.00145560757536953	0.00128102145222014	0.00131548039785356
AKU26638.1	0.000108810928836643	0.000121639084255239	0.000209954852597187	0.000112421757562065
AKU26639.1	0.000465144804153065	0.000452225208380271	0.000398787920434445	0.000357437505859216
AKU26640.1	0.000384514372732475	0.000418650186809002	0.000362041778175124	0.000367811015623631
AKU26641.1	0.000539835325011048	0.000456672182422197	0.00100395586434681	0.000315092533609089
AKU26642.1	0.000265231772786869	0.000291650371347835	0.000376973636044535	0.000235341787739263
AKU26643.1	0.00112776763378973	0.000725387378065615	0.000573564016105267	0.00106472693801938
AKU26644.1	0.00406457997678078	0.00340776008791216	0.00414584834604094	0.0025626143717206
AKU26645.1	0.000176470140315529	0.000144490438781174	8.71832784854912e-05	0.000166573507414952
AKU26646.1	0.000470166308940142	0.000350665916738769	0.000230984854465735	0.000385632607765376
AKU26647.1	0.000711336542234704	0.000606554572121665	0.000468758836095001	0.000566113319922535
AKU26648.1	0.000919712057637827	0.00119299885335025	0.00146734587131324	0.0018718082624269
AKU26649.1	4.73703530090858e-05	4.60245879137057e-05	6.50055559673701e-05	3.46139974578334e-05
AKU26650.1	1.60610818812305e-05	1.21616095195289e-05	2.75724590667369e-05	2.71329474681787e-05
AKU26651.1	0.000274136660367103	0.000228747485655388	0.000262299055523563	0.00023465567595805
AKU26652.1	0.000257658544410371	0.000232138027296104	0.000247024380395785	0.000144670063813922
AKU26653.1	0.000364337327316183	0.00055645354166447	0.000528595516774511	0.000275507751037303
AKU26654.1	0.000284421939384961	0.000220682671261153	0.000263321311563552	0.000213894319468993
AKU26655.1	2.1172164475831e-05	2.88473019386273e-05	3.64530108552076e-05	3.05751731270284e-05
AKU26657.1	0.000332836543844752	0.000452034462154768	0.000375722739067797	0.000483379721043439
AKU26660.1	0.000351152743225943	0.00038444101914968	0.000261020444592553	0.000568066735930227
AKU26661.1	4.59430698632685e-05	2.31054099500149e-05	2.94240779307698e-05	6.65200775804609e-05
AKU26663.1	0.000313463192816584	0.000296651128011172	0.000176792126885244	0.000160666644171998
AKU26664.1	0.000141142213383849	3.76011424995695e-05	3.73318041913472e-05	5.08944134434712e-05
AKU26665.1	0.000933939183315681	0.00192034503610303	0.0022093332915888	0.0029979512599871
AKU26667.1	0.000103859090758043	0.00010329466004293	0.000108860789931327	8.65707068955866e-05
AKU26668.1	8.52470502147752e-05	0.000127137928275206	0.000113554019199207	0.000108681521051691
AKU26669.1	0.000361542346884598	0.000380335341842777	0.000642413852880468	0.000446985701225643
AKU26670.1	0.000217984664786303	0.000296732862069434	0.000290405580203575	0.000159385751220471
AKU26671.1	2.0965522290841e-05	9.02799045399982e-06	1.34124732231633e-05	1.53617324213163e-05
AKU26672.1	0.000939457128608747	0.000979187831622386	0.000967097843021747	0.000895180679312956
AKU26673.1	0.000873856568794578	0.000785438623889361	0.00113179439306896	0.00115048681414636
AKU26677.1	0.000157947816756017	0.000177696187345979	0.000204383935656682	0.000174655164894253
AKU26678.1	0.000295320826341951	0.000318556137033589	0.000446402287346847	0.000227605443161916
AKU26679.1	0.000151335050785135	0.000121780482045983	0.000217939093489063	9.83014109379959e-05
AKU26680.1	0.000226459332124042	0.000231981709354333	0.000176557712230086	0.000287249335846911
AKU26681.1	0.000930228705881885	0.000633925845949163	0.000509392913214863	0.000840753257203098
AKU26682.1	5.08164490744091e-05	9.94083923307038e-05	3.46140373257244e-05	2.92905161177741e-05
AKU26683.1	7.10234977104295e-05	0.000170680877235369	0.000129718517024714	NaN
AKU26685.1	6.84593725042374e-05	7.06077168854774e-05	7.61293675598739e-05	9.72867699766199e-05
AKU26687.1	0.000130455412434317	0.000200315678044675	0.000157118307569527	9.79348110387028e-05
AKU26688.1	6.894220345768e-05	3.42486484263213e-05	9.85969093680605e-05	8.51413949759209e-05
AKU26689.1	0.00136197026308413	0.00193692526948558	0.00227214593499593	0.00180990184480906
AKU26690.1	1.41996974928084e-05	1.65920000106688e-05	4.69272311590085e-05	2.72916701108869e-05
AKU26692.1	6.34465149799749e-05	7.83779462375707e-05	4.87638822885807e-05	8.64424017132717e-05
AKU26693.1	0.0004399951966919	0.000305592070811739	0.000866259513792789	0.000308524390872022
AKU26694.1	0.000464262437705674	0.00036907158685999	0.000212109564070343	0.000207090414046998
AKU26695.1	0.000846397656909307	0.00105519505043685	0.000742680221108537	0.000791599997017254
AKU26696.1	4.16979305125471e-05	5.88928541784407e-05	2.62543263877438e-05	4.11104018962572e-05
AKU26697.1	1.76287469342194e-05	1.47103771121445e-05	4.08525644549331e-06	9.98564131508892e-05
AKU26699.1	0.000132416698695835	0.000126923525102851	0.000132993463385703	8.98424606838652e-05
AKU26700.1	7.88508058206558e-07	NaN	6.74027835680066e-07	3.62993884506872e-07
AKU26704.1	0.000214051655775158	0.000401740128139569	0.000403534804740148	0.000409056876315808
AKU26707.1	1.11553829311069e-05	1.01217682510839e-05	7.09990255889564e-06	1.13941145866678e-05
AKU26709.1	0.000519658571562302	0.000578624405309271	0.000600568529585075	0.000705151010613626
AKU26711.1	0.00032686003076542	0.000344798224892642	0.000292704198556051	0.000381285184306862
AKU26714.1	3.18071716755887e-05	2.59029764816186e-05	3.50236001073157e-05	3.34248961897545e-05
AKU26716.1	0.000445754635208295	0.000311657626770373	0.000311151598747539	0.000412705130011119
